problem_id,bkt_slip,bkt_guess
SMGTCPKLU,0.05,0.0
18WA8NSLM7,0.05,0.0
1QJ8DHER0B,0.2,0.0
15KJOFI3FO,0.05,0.25
10R2O42PJO,0.05,0.25
1QIE8XIHMJ,0.1,0.25
1H57EK8R47,0.05,0.25
242IHJS943,0.05,0.25
23AHGKSZW5,0.05,0.25
1TXBE9G7I7,0.05,0.25
1HMDLF04MM,0.05,0.25
ZKULC0HM5,0.05,0.25
2LIO1WJI9O,0.05,0.25
K3XTGKDMT,0.05,0.25
1BS1W6KG57,0.05,0.25
2F4LRKB02L,0.05,0.25
2QUHJ7Y2UP,0.05,0.25
WT5Y36LFV,0.1,0.25
2E41UPCPJH,0.05,0.25
CFPBGOIF3,0.05,0.25
2QMA4NTS70,0.05,0.25
O68VQKN2H,0.05,0.25
B1GOST0HP,0.1,0.0
4SG3DR7OL,0.1,0.0
2QAKTGLU30,0.05,0.0
H35PVK8ZY,0.05,0.0
1ZHL8RRWTO,0.1,0.0
BHHAT5YPE,0.05,0.0
2MI7IQSOQC,0.1,0.0
2A7D0ZUZJT,0.05,0.0
2IGU9QVIXC,0.05,0.0
GXXAGKO1A,0.05,0.0
1KL3UUUGJJ,0.05,0.0
1THC1P87QC,0.05,0.0
1F4CZ5YZKG,0.2,0.0
14Z2XC1NVO,0.1,0.0
258TGAJS8A,0.05,0.0
GYOYKFQ49,0.2,0.1
24UQX9RE6,0.1,0.1
2EJRHGPWSV,0.05,0.1
D0K19B5TA,0.05,0.0
1F5CZFFY3Y,0.15,0.0
37N0M4GDN,0.1,0.0
22ELDK0I4Z,0.05,0.0
O7GHU099O,0.05,0.0
1A18RZ3P2L,0.1,0.0
11L9138KKA,0.05,0.0
2GFRZ111QW,0.05,0.0
2H9Q5YPHMF,0.05,0.0
2R1PIKXEH0,0.05,0.0
1VFKW4AST,0.05,0.25
1E0VEL7EKK,0.05,0.25
ZX7X4AKEH,0.05,0.25
21DRQ1VA7U,0.05,0.25
1MKIU2TLM0,0.05,0.25
1DNTJ0VD4S,0.05,0.25
8WZRUXLH5,0.05,0.25
2JFU9NNT1J,0.05,0.25
2AT2LWSCIR,0.05,0.25
1MQ3YDCWVH,0.05,0.25
G2JJ7VJ0P,0.05,0.25
FEKQVLPZ8,0.05,0.25
1MN44DAY66,0.05,0.25
3U7WLZA1N,0.05,0.25
4P7D69952,0.1,0.25
1Y40EU7ABW,0.15,0.0
1QD1HY94TO,0.1,0.0
9SLD5M674,0.05,0.25
16I2XNXUCV,0.05,0.0
BGK7XE4X8,0.05,0.0
1Y7G63IRVI,0.05,0.25
1RY76N3Q09,0.05,0.0
11845ZD013,0.05,0.0
AVMRVMPR1,0.05,0.0
20EDPU2JTA,0.05,0.0
28X6IQJIF6,0.1,0.0
ZFAEQ6OJY,0.05,0.0
1IGF6IHIXV,0.05,0.0
D7MVVLH6Z,0.2,0.25
SN5KALBY2,0.05,0.25
14YKGV0BZP,0.15,0.0
CGSX208W8,0.05,0.0
2172RVRNOT,0.2,0.0
1HNU0PC502,0.05,0.25
1BNLMZHB8B,0.15,0.0
2HS8OT4SL8,0.05,0.25
2LAHC6FP5B,0.05,0.0
232BII1IXK,0.05,0.25
1AKKG3JPS4,0.15,0.1
1Y3053I82O,0.05,0.0
1LPWMQLQIA,0.05,0.25
2PT9IFRVHJ,0.05,0.0
2P8L5FQILI,0.05,0.25
13YOBHXV25,0.15,0.1
1IUCD6ARY,0.15,0.1
MA7RZOXCF,0.05,0.0
2PXIIB50J5,0.05,0.0
1AOD7WEZ5J,0.05,0.0
HN5J38HH2,0.05,0.0
1DVC5LMJKG,0.05,0.25
1L3JBN56Q2,0.05,0.0
1RL6GNMNDA,0.05,0.25
1KU5J1TLSS,0.05,0.0
PD35DYIM,0.05,0.0
22NVBZKP0O,0.05,0.0
1MUO93DZ3V,0.05,0.25
1Q8Z8M4DDW,0.05,0.0
1DKBNSQLXN,0.05,0.0
2KVITMEEPB,0.05,0.0
M3CLX2W28,0.05,0.25
LH49KLP78,0.1,0.25
RKIB6EJ9E,0.05,0.0
DE4L69DR2,0.2,0.0
U3I9MT9QR,0.05,0.0
13KJ6FTANO,0.05,0.0
9P1ED0U0H,0.05,0.0
2D4OR0VRTZ,0.05,0.0
133LU98GC6,0.05,0.0
X8Y9K8N2V,0.05,0.0
OAJOC905J,0.05,0.0
1YZEIG13J9,0.05,0.0
1DFS2YKSKY,0.05,0.0
213TCS2ZX0,0.05,0.0
28SNUE8QDT,0.05,0.0
958R0GRN6,0.05,0.0
1B3VOPPIGZ,0.05,0.0
YESAC6RLA,0.05,0.0
10WUZ5J6YL,0.05,0.0
2POQBFR9C6,0.05,0.0
21FSMYMJTW,0.05,0.0
2DDQ341UU8,0.1,0.0
26JZZIO5DR,0.05,0.0
22HDQPDU3H,0.05,0.0
1QGEGGO7JW,0.05,0.0
2IK3EJHTJ2,0.05,0.0
2IR2T4UHMB,0.05,0.0
1Z3WNJMGL9,0.05,0.0
2HEK3RQHZ8,0.05,0.0
1JM0D92Y72,0.2,0.1
22CPT1LFX2,0.15,0.25
2PHB14Z35X,0.15,0.25
1CWGEGLNO2,0.2,0.1
AK6BGJVJ1,0.1,0.25
1SQ0UFL21K,0.15,0.25
1Z161RKG80,0.1,0.25
2BRY3W5W9E,0.2,0.0
152RIPACFV,0.15,0.0
1XOHLO14T1,0.2,0.0
2OI1GPCOC2,0.1,0.0
QUB5WA4CL,0.1,0.0
SKLSRSV3V,0.1,0.0
22BINZ2F8,0.15,0.0
6D4LTX7KL,0.15,0.0
CC3TMNVLG,0.1,0.25
2PIYC6VUTW,0.05,0.25
KKGJLU2CR,0.05,0.25
6F2JN7SJ3,0.1,0.25
23S89DNW51,0.2,0.0
7X1QAZCHJ,0.05,0.25
1BFPG20BFY,0.15,0.0
2HF8WWMPGR,0.2,0.0
LPXZ9NB5J,0.2,0.0
1XRW3MSOIK,0.2,0.0
21RS12JTLV,0.15,0.1
13ZHE8P30J,0.2,0.25
1RV0D67G4F,0.05,0.25
GGDZ4BG9G,0.2,0.25
1RWXFV886I,0.05,0.25
2BDV3T4RD1,0.05,0.25
RC07B69AI,0.05,0.25
1YEGZ1AMGL,0.05,0.25
1KCJ4WTTZB,0.05,0.25
2LJEKV3LES,0.1,0.25
JK23Z8FZU,0.15,0.0
24H42DRDFT,0.15,0.0
2EFBPKF3DW,0.05,0.0
VDCCWMK9W,0.2,0.0
2DB4XFUMT1,0.05,0.25
JHBDAQP7S,0.15,0.1
TDGQR4VYW,0.05,0.25
1ZFEX6C9MX,0.05,0.25
CBV3H7301,0.05,0.25
1P2CYXNGTZ,0.1,0.0
1RVGLM3DQC,0.1,0.0
2K5OQ0SZW7,0.15,0.0
15QKGYT23V,0.1,0.0
FJC76OT78,0.2,0.0
S27ZOWOGN,0.2,0.0
NBKBLM58E,0.15,0.0
174OL8UJRG,0.15,0.1
2HOG3SDDVD,0.1,0.25
A0QJ3XXLT,0.15,0.25
CWPLJVSHH,0.1,0.25
1JY99YA6CP,0.2,0.0
83ZND9LYX,0.2,0.0
2A0NTOOPLN,0.15,0.25
WI95FJDRU,0.15,0.25
1OPDWAK0IC,0.2,0.0
21U8XXLSYK,0.15,0.1
2MKC1UDYUZ,0.15,0.25
1JV7ZHI4K4,0.1,0.0
1DB1AEAQXL,0.05,0.25
BIYZ5BC7C,0.2,0.1
1SZG1AUXRA,0.15,0.25
RICZJ039K,0.1,0.0
IN0HWJDL2,0.1,0.0
AK2KYOW4L,0.1,0.0
260PMK8DZP,0.2,0.0
21K5A5C1C4,0.05,0.25
1UP1YMV074,0.1,0.25
7VV48YTWF,0.1,0.25
KCLT3WR0S,0.15,0.1
11MGI3T9BI,0.1,0.0
W34FQVFQA,0.1,0.0
K214K4QVX,0.2,0.0
5E0BHFG60,0.1,0.0
76AWQBQPC,0.1,0.25
2HJLEEULOW,0.05,0.25
CBOHZNEOX,0.15,0.0
2GN3P4GP1O,0.05,0.0
2IRQCAPRJU,0.05,0.0
1ZCN6DZQP1,0.05,0.0
1QOQIW774C,0.05,0.0
2UN8LDWJ2,0.1,0.25
6C5FE5AK6,0.1,0.25
25Y1GOVIKG,0.1,0.25
236BZC0K2A,0.1,0.25
2JJM3SUHRK,0.05,0.0
JJJYVRXZ2,0.15,0.0
26Y32DG3XG,0.05,0.0
14PY26QQXA,0.05,0.0
918FNP242,0.05,0.0
2HE3QEBWOL,0.05,0.0
TK9WOEGF4,0.05,0.0
28DICVGURB,0.15,0.0
20RYFA3F34,0.05,0.25
Z0FI51F58,0.1,0.0
1E4ZLRIQ7Q,0.05,0.0
1ALWOSV2RR,0.1,0.0
2N9HYYS20R,0.15,0.25
2H4WTSNH5A,0.1,0.25
2DNEMJ5DA3,0.1,0.25
1S4DYV3NOD,0.1,0.25
2H1DKOGQMK,0.05,0.25
KIP6D3JXO,0.15,0.25
27LPPBMZJK,0.05,0.25
BHSHS6M2O,0.05,0.25
1Y23AP4LO7,0.15,0.25
1CNUYV2J1Y,0.1,0.25
WBD01A1JW,0.05,0.25
18UJO608EX,0.05,0.25
1CN4OK7ROH,0.05,0.25
SRNC2LQSX,0.2,0.0
2K12CHJEAS,0.15,0.25
19DVBR6PDY,0.1,0.1
1FLWT1J0EX,0.05,0.25
4M4L59TKT,0.1,0.25
102FUBK1OZ,0.1,0.25
2I1HETDOI6,0.05,0.25
2A04V73IEG,0.05,0.25
TQVPTCQSY,0.2,0.1
294NYE9KOG,0.15,0.1
17E82UA8N3,0.05,0.25
2POMHBVQ47,0.05,0.25
1FHE0BJV3K,0.1,0.25
PDXI8DXMD,0.05,0.25
1T621PR0GA,0.15,0.25
1MS4LJ6U0Q,0.2,0.1
1MLFSNJ887,0.2,0.1
NNU4REM0Z,0.1,0.25
19DHLJGTSH,0.05,0.25
1G85W7G6JL,0.15,0.0
162O11VNFM,0.15,0.0
1H564JAKEN,0.2,0.0
2FNNXC8WTO,0.15,0.25
M7O59DVZ,0.1,0.0
P28483MGS,0.15,0.0
20CN4D9SBY,0.1,0.25
KIJJH1QQP,0.05,0.25
1A9WXBNQ30,0.1,0.25
1OEOTFI7FF,0.1,0.25
222MTRWWDX,0.05,0.25
TNFCSXMAN,0.1,0.25
BW8ZOSCG8,0.1,0.0
W7VQOJCZM,0.1,0.25
E6A8ZSB2R,0.05,0.25
R95QWWXZW,0.1,0.0
1ZCAVJZX85,0.15,0.0
23SUINF2AC,0.1,0.0
1JL3XKQ9XC,0.1,0.0
2AH6T22K9S,0.1,0.0
148TDFRGGM,0.1,0.0
93IARWA4,0.05,0.0
1ZO1TU5KKQ,0.05,0.25
72G0J9PHT,0.15,0.25
2KR5PI4BFS,0.2,0.0
B7HQRHGMJ,0.05,0.25
1041ABDQKE,0.1,0.0
1B5W4SVEYT,0.1,0.0
IG5LFFZLO,0.1,0.0
2RGGJGZZ8K,0.15,0.0
DGKCRBJAI,0.15,0.0
1IJ62LYKPF,0.2,0.0
2L48FR9BUT,0.1,0.0
191TRGSC38,0.2,0.0
10CQPP9NBP,0.2,0.0
2F5EOF22XI,0.2,0.0
FDZE0N7KO,0.1,0.0
1FXX7LXWMI,0.1,0.0
2IPFNM2267,0.1,0.0
1OVAELE6R1,0.05,0.0
1BR14NJ5Q2,0.05,0.0
4IOVFGE1S,0.05,0.0
19BRRXOQ5G,0.05,0.0
2P6PRKSSX3,0.05,0.0
1LTYUZXRBG,0.2,0.0
2D3BT7OSHC,0.2,0.0
19VLMH0K78,0.15,0.0
IVLOLNSHR,0.1,0.0
1F67BADOTZ,0.15,0.0
171XH55INQ,0.05,0.0
84M93VJVH,0.1,0.0
252B5WH7AB,0.1,0.0
5SK6H1BRZ,0.05,0.0
25JZHU4MWT,0.05,0.25
1Z02WDBZXY,0.1,0.0
1VNVLZWBFC,0.05,0.0
1JRUEY1FM,0.05,0.0
15ZN631VWD,0.05,0.0
1U01U7LOW,0.15,0.1
2MPLXSUOYL,0.1,0.1
2BZV51WWRQ,0.05,0.1
1DWJ0DUSAR,0.05,0.0
28PCDSBQSP,0.05,0.0
15BOIVSOC2,0.05,0.0
1RTKS8ZZ97,0.05,0.0
OSG6HLZO1,0.05,0.0
20TOA2GS35,0.05,0.0
26JLLN8L7C,0.05,0.0
1T9F18JAE1,0.05,0.0
18FHUB3DUX,0.05,0.0
QJXO41199,0.05,0.0
1H69AMDVKU,0.05,0.0
1XPJMBM2CK,0.05,0.0
TMXGBX5ME,0.05,0.0
28DFR54IIR,0.05,0.0
1KNN4GK5OR,0.05,0.0
PKQ7T3ODI,0.05,0.0
2ADTYBK7J,0.1,0.0
IOQJQI81L,0.2,0.0
2FSL9CVD5N,0.1,0.0
2997T2S1GJ,0.05,0.0
1JU6AAQF41,0.1,0.0
20KLJU4Y83,0.05,0.0
GAHXQDYTE,0.05,0.0
29EX97TTQI,0.1,0.0
2PH4VBGY3F,0.05,0.0
MCYTY8HUD,0.05,0.0
1H6UBL8BKG,0.05,0.0
1W73RBSB64,0.1,0.0
16IOZ8WDEJ,0.05,0.0
LT2YVUE3K,0.15,0.0
B1AI51ZBU,0.05,0.0
2D2KPABIW,0.05,0.0
K29VONGD2,0.05,0.0
L8315U12L,0.05,0.0
1CWK8EOJQT,0.05,0.0
7UYU792DW,0.05,0.0
1YIZVIBKTW,0.1,0.0
1E0FU3IGC6,0.05,0.0
19X628QUIX,0.05,0.0
1JPXJGP7ZE,0.05,0.0
2LZQ3SYT1,0.05,0.0
KKNXCY1ZE,0.1,0.0
17QBZ4EOEQ,0.05,0.0
1HA4JYML0T,0.05,0.0
1P04SOUCR5,0.05,0.0
2F6ZHANRT1,0.1,0.0
SXZZ2K6OY,0.15,0.0
25JKB4F1I,0.1,0.0
WDXGL2FPW,0.1,0.0
1WC3AH4WQY,0.1,0.0
UEIWVHAFT,0.1,0.0
15RVY23OOX,0.2,0.0
23X6PNXHM1,0.15,0.0
2MQI79RAMD,0.05,0.0
1FDAUMRLN3,0.05,0.0
2G2K7HRAE4,0.05,0.0
1SUER9SR6U,0.05,0.0
LTPMFAMYJ,0.1,0.0
34J7EDH1L,0.05,0.0
1GY8YLAHGV,0.05,0.0
PBTIIO8L2,0.05,0.0
1GXWIVZ6G7,0.1,0.0
3N8GXFDBQ,0.15,0.0
1UNDAB79SB,0.1,0.0
1SVNQGU6QE,0.1,0.0
2BYOZQZEFJ,0.05,0.0
28Q8QRUYN9,0.05,0.0
1UZF2YBG40,0.1,0.0
MMPM0AMPA,0.15,0.0
45093F400,0.1,0.0
1WIM9UAMKU,0.15,0.0
NL1NBFXG2,0.1,0.0
29HYGZ8CBV,0.05,0.0
CWD0OPPEY,0.1,0.0
2PMGOU5NU3,0.1,0.0
2RQGOR7875,0.15,0.0
ZC90USTB1,0.1,0.0
33U2W7IG6,0.1,0.0
2EF64CQMKN,0.15,0.0
XJROT1TOT,0.1,0.0
XAELFG9VZ,0.15,0.0
1ERHX3UBKV,0.1,0.0
175PSBLTDF,0.1,0.0
1CTZPLBK2B,0.15,0.0
RC12D7UZB,0.1,0.0
1GBQG7R3G8,0.1,0.0
LA426CY4N,0.15,0.0
13MQBPLIJW,0.1,0.0
1TSQM9YLZT,0.1,0.0
266N7VSLRB,0.2,0.0
1JTA0RGSX3,0.2,0.0
SX8GYD5SW,0.1,0.0
1Z06MXJHJH,0.15,0.0
HZTN711WQ,0.1,0.0
8KLHUP272,0.15,0.0
20ZGHGX9XY,0.1,0.0
2R39XU2DVI,0.05,0.0
T3CD07YJY,0.15,0.0
1HTI4HIR3O,0.1,0.0
22AO7QIBZB,0.1,0.0
NRITCI6OE,0.15,0.0
2N83BC4AWW,0.1,0.0
TF1F0W4IQ,0.1,0.0
C2KV3ZB61,0.05,0.0
29XNJNTZTU,0.05,0.0
1YLKQRX0PA,0.05,0.0
2MV35QMHAA,0.2,0.0
2K6OIDRZ8M,0.2,0.0
1D0IRBUGNH,0.15,0.0
93WDXUJW0,0.1,0.0
18T0MJARGF,0.1,0.0
1XSZJ3NIBZ,0.15,0.0
11U76HEWX6,0.05,0.0
2AR1GILVX1,0.05,0.0
17PAATXBNB,0.2,0.0
1G0VDCECQ4,0.2,0.0
22HF33E2AS,0.15,0.0
ZHZ3XGHPA,0.1,0.0
11CC4CGM7Y,0.1,0.0
1OLXJ6GGMN,0.1,0.0
4A1ED2SQP,0.1,0.0
17B5CK5ASS,0.05,0.0
2GQ8IY0XGL,0.05,0.0
7JAV5Z9RQ,0.05,0.25
LY6KADLG1,0.05,0.0
1973TR1EWQ,0.05,0.25
NHVOZH0P9,0.05,0.0
CZVMAJGP8,0.05,0.0
1ANDDBVI93,0.05,0.0
1Y3PUX8UVW,0.05,0.0
29G8F7B4NO,0.15,0.0
21CI5MCVYE,0.1,0.0
O49KYIUAR,0.1,0.0
W10VYY87P,0.2,0.0
KPXB0T2JR,0.15,0.0
1BLXBLS8I8,0.1,0.0
V7E78R5CF,0.1,0.0
159RS9FVZG,0.1,0.0
JHZC2TDCZ,0.05,0.0
1KN27LS0G1,0.05,0.0
21H5LCUG3P,0.05,0.0
9A3XOW6I4,0.05,0.0
2OUY73FZ1N,0.15,0.0
1SJZGUH93L,0.1,0.0
7AG38FOJD,0.05,0.0
B4TYAZXUW,0.1,0.0
2OVTTH20U7,0.1,0.0
NQPD3LI96,0.05,0.0
1VG1QV51UQ,0.2,0.0
10FO8PDGXN,0.1,0.0
REBLITIT7,0.1,0.0
RTPJSYZUT,0.1,0.0
2EG57EV0ZT,0.05,0.0
2KG9AHIJF5,0.1,0.0
2J4NRO2J0B,0.15,0.0
1Z95ZTDDQM,0.05,0.0
4DPCNAP6R,0.15,0.0
1L9ZMA0PLZ,0.1,0.0
1V2ZORVMOB,0.15,0.0
1QSBDOOYUB,0.05,0.0
N45E0BFV3,0.05,0.0
12A460MOZC,0.2,0.0
2MX6JMEFN0,0.1,0.0
4QOM80Q0C,0.15,0.0
1TFQGJHOND,0.05,0.0
2N0CVHSXHQ,0.15,0.0
17EMQR34SY,0.1,0.0
13JNCVLKOG,0.1,0.0
1HFFS73FEF,0.05,0.0
14V4KIY9Q,0.05,0.0
8UUKPCQLL,0.05,0.0
AROOG5XLL,0.05,0.0
21EZP5203T,0.05,0.0
24QX25VNBR,0.15,0.0
1U4NALWDTZ,0.1,0.0
2PK9W2JUJH,0.05,0.0
Y6N5570IG,0.05,0.0
DGAI9J6G5,0.05,0.0
2KQ2MWDSGK,0.05,0.0
1BXFHQ0WH2,0.2,0.0
2A7095ND8D,0.1,0.0
14JZYZ0WH1,0.15,0.0
RFNXTNAY6,0.1,0.0
1NA2HRQIRC,0.05,0.0
2ED81J2JVX,0.2,0.0
20UJGALMF2,0.15,0.0
K8CYELA8T,0.15,0.0
D6F0Z2HHR,0.1,0.0
19CU7SQBCA,0.1,0.0
2OQE4YX83L,0.2,0.0
1V6DO9YW72,0.1,0.0
1U094S53GW,0.1,0.0
2K5UMDIFTN,0.1,0.0
RYET1V6GK,0.05,0.0
209NRD99SV,0.05,0.0
25QZDLG4ME,0.05,0.0
GI7OGYAEU,0.1,0.0
1H8A3SSU,0.05,0.0
H9L8053T0,0.15,0.0
23CB6E4PDE,0.1,0.0
1DUJCPX5K9,0.1,0.0
2N28G1WIHM,0.05,0.0
1PDO6K8H93,0.05,0.0
1WECGE7ZTC,0.05,0.0
122RNKN3RZ,0.05,0.0
1IWQ6EF24A,0.05,0.0
1D93YKH92W,0.05,0.0
2LDMQUR56C,0.05,0.0
2C3P8RJAZY,0.05,0.0
1TZAHXLZ5,0.05,0.0
1BBSGPMYK3,0.1,0.0
2MI0I83XTP,0.05,0.0
5NWP34AP5,0.15,0.0
54P8R9A52,0.15,0.0
28CPKJDG8Q,0.05,0.0
Y51229Y9F,0.1,0.0
UCVEOP9T5,0.1,0.0
2R2DB09FZ3,0.1,0.0
2B5QO0HZO7,0.05,0.0
29BJYVP5T3,0.05,0.0
1VKDT4HBG3,0.05,0.0
2B189WH5HR,0.05,0.0
2QZA6LULUY,0.05,0.0
26PZDN3BBT,0.05,0.0
19OYWEMRTY,0.05,0.25
5LPJULGZK,0.1,0.25
20ZDPD96DL,0.15,0.25
18IKGCMZ4T,0.1,0.25
2966UMOXO6,0.1,0.25
2E0UASCGZ,0.05,0.25
18ETWERTA4,0.05,0.25
REVEVLV4B,0.05,0.25
1HGJ740SNG,0.1,0.0
2M6339JKC5,0.05,0.0
18XBI1P0H8,0.1,0.0
22XXJT7L9S,0.1,0.0
1XLMLVNZKD,0.2,0.0
B1VL4V4YE,0.05,0.0
DPHEGBW44,0.2,0.0
1DJLI7YD6,0.05,0.0
1YLAGHQCK4,0.1,0.0
1RD0Y99UEK,0.05,0.0
3MRCOK58E,0.1,0.0
TFBXDGPTT,0.05,0.0
1JLCCGZK6S,0.15,0.0
88NKLKWU3,0.15,0.0
RQR7ZNIC2,0.1,0.0
1K1JV8MUCV,0.2,0.0
BYTUA9M8B,0.1,0.0
2PP17TKETR,0.1,0.0
1PQHUDA20R,0.15,0.0
2QQ15Y6M5L,0.05,0.0
2PBWMY8IEB,0.1,0.0
1WQINT232W,0.05,0.0
1XBTS7X7SD,0.05,0.0
CG7C8WBJU,0.1,0.0
N9YFC43WV,0.1,0.0
JQHTZZK4V,0.05,0.0
22L2QS71OB,0.1,0.0
1IB9QGXFZN,0.05,0.0
1TKZLMHKXS,0.05,0.0
1N3CBD8KAV,0.05,0.0
1P88T05MP6,0.05,0.0
XWVX58XT2,0.1,0.0
1D36X91ZTZ,0.1,0.0
RY6QMNR4C,0.05,0.0
1Q5UNB4S35,0.1,0.0
H22OPU14K,0.05,0.25
2LAH7ETHPT,0.15,0.0
1STCYUUEN7,0.05,0.0
2NWS0ULFV6,0.1,0.0
287HSYV6BJ,0.05,0.0
2RN9V0G5MV,0.1,0.0
Z9AI8F33N,0.05,0.0
2375Z7A29P,0.1,0.0
XGAM5AHFG,0.05,0.0
1CVE8UBWWB,0.15,0.0
2HA5L7JZI1,0.1,0.0
1WBVSWVK0,0.2,0.0
1AK6V4VLLH,0.05,0.0
4ZG0RWVVL,0.15,0.0
TQFRNCJT8,0.1,0.0
1F8OGHKVXJ,0.1,0.0
1TRCMKIN6V,0.15,0.0
28TSYVQUD5,0.2,0.0
11IUINOY6Q,0.15,0.0
1XHW7I80BO,0.15,0.0
G55ZW1N4O,0.15,0.0
1LDYRAUC07,0.1,0.0
2PU2NBWYJ4,0.2,0.0
178FVL2LVH,0.1,0.0
1TA9EOTW7I,0.1,0.0
GHJXB2C8A,0.05,0.0
1JQANHM2R8,0.05,0.0
Z8L2VXIWZ,0.1,0.0
J8111U78F,0.05,0.0
2OPHGGVBHD,0.05,0.0
288JOXP2ZD,0.05,0.0
6DOGAN3XU,0.1,0.0
2DKKW5615E,0.05,0.0
2L2IJWHOK3,0.1,0.0
7X7JDG46N,0.05,0.0
2AS3ZETB61,0.15,0.0
P0GE9KTH6,0.05,0.0
1A5MZK0AJF,0.1,0.0
1JED5ZAHRT,0.2,0.0
1R3Q1OAXOF,0.05,0.0
19H7NHUYEZ,0.05,0.0
PTDGXJRQF,0.05,0.0
2BUOBMECO2,0.05,0.0
NBI162M94,0.05,0.0
161WRHYCJQ,0.05,0.0
1J2AS9XGB6,0.05,0.0
VHRZIEIJD,0.05,0.0
1Q6CKAIJ9Z,0.1,0.0
IM0Z95GPF,0.05,0.0
1IK8DVTFX0,0.05,0.0
2CRX4QBZF6,0.05,0.0
28GYTKKYLX,0.2,0.1
2GI9M70NSC,0.2,0.0
2QBDOIVBL7,0.1,0.0
1N71CBO975,0.1,0.0
I33PR2TT1,0.15,0.1
2CJSMB2I0H,0.2,0.0
EXTHA7XWV,0.1,0.0
28NG2ADP3Y,0.1,0.0
1VIL5SG7TS,0.05,0.0
2BJ7RJJAXH,0.1,0.0
E5JBDD9YR,0.1,0.0
6W4UKVM5H,0.05,0.0
2QEOG1IMKZ,0.1,0.0
2EYPL3JIA6,0.05,0.0
NOMRVCIS1,0.05,0.0
QG446A76R,0.05,0.0
21EL2NRTZL,0.05,0.0
22XTNWLZ5E,0.2,0.0
XAGPG6YA9,0.15,0.0
B0GPLWPZ8,0.1,0.0
2IZ37JZFTR,0.05,0.0
FCU0IQYPH,0.05,0.0
1IU3QPCBWC,0.05,0.0
1M1ZFEGRWB,0.05,0.0
4HL9P1J7Q,0.05,0.0
3MMH7MWV4,0.05,0.0
11HX6OXU40,0.05,0.0
2DQ7P9HSGM,0.05,0.0
2O9STQJE1J,0.05,0.0
ACIUGIGFT,0.05,0.0
23NVCAR3KZ,0.05,0.0
YP22VCSEY,0.05,0.0
2NLS5OBEYS,0.05,0.0
8PYSV85VA,0.05,0.0
JDFI55XXT,0.05,0.0
13OYD0EHNT,0.05,0.0
TH2TW8EBY,0.05,0.0
